date,Region,Municipality,cases,deaths,ncases,ndeaths
2020-03-29,Northern,Petnjica,0,0,0,0
2020-03-29,Northern,Plav,0,0,0,0
2020-03-29,Northern,Pluzine,0,0,0,0
2020-03-29,Northern,Rozaje,0,0,0,0
2020-03-29,Northern,Savnik,0,0,0,0
2020-03-29,Northern,Zabljak,0,0,0,0
2020-03-29,Northern,Pljevlja,0,0,0,0
2020-03-30,Central,Podgorica,30,0,2,0
2020-03-30,Central,Cetinje,0,0,0,0
2020-03-30,Central,Danilovgrad,1,0,0,0
2020-03-30,Central,Niksic,0,0,0,0
2020-03-30,Central,Tuzi,32,0,0,0
2020-03-30,Costal,Bar,6,0,0,0
2020-03-30,Costal,Budva,4,0,0,0
2020-03-30,Costal,Herceg Novi,4,0,0,0
2020-03-30,Costal,Kotor,0,0,0,0
2020-03-30,Costal,Tivat,1,0,0,0
2020-03-30,Costal,Ulcinj,7,0,4,0
2020-03-30,Northern,Andrijevica,6,0,0,0
2020-03-30,Northern,Berane,0,0,0,0
2020-03-30,Northern,Bijelo Polje,0,0,0,0
2020-03-30,Northern,Gusinje,0,0,0,0
2020-03-30,Northern,Kolasin,0,0,0,0
2020-03-30,Northern,Mojkovac,0,0,0,0
2020-03-30,Northern,Petnjica,0,0,0,0
2020-03-30,Northern,Plav,0,0,0,0
2020-03-30,Northern,Pluzine,0,0,0,0
2020-03-30,Northern,Rozaje,0,0,0,0
2020-03-30,Northern,Savnik,0,0,0,0
2020-03-30,Northern,Zabljak,0,0,0,0
2020-03-30,Northern,Pljevlja,0,0,0,0
2020-03-31,Central,Podgorica,39,0,9,0
2020-03-31,Central,Cetinje,0,0,0,0
2020-03-31,Central,Danilovgrad,1,0,0,0
2020-03-31,Central,Niksic,0,0,0,0
2020-03-31,Central,Tuzi,33,0,1,0
2020-03-31,Costal,Bar,10,0,4,0
2020-03-31,Costal,Budva,4,0,0,0
2020-03-31,Costal,Herceg Novi,4,0,0,0
2020-03-31,Costal,Kotor,0,0,0,0
2020-03-31,Costal,Tivat,2,0,1,0
2020-03-31,Costal,Ulcinj,8,0,1,0
2020-03-31,Northern,Andrijevica,7,0,1,0
2020-03-31,Northern,Berane,0,0,0,0
2020-03-31,Northern,Bijelo Polje,1,0,1,0
2020-03-31,Northern,Gusinje,0,0,0,0
2020-03-31,Northern,Kolasin,0,0,0,0
2020-03-31,Northern,Mojkovac,0,0,0,0
2020-03-31,Northern,Petnjica,0,0,0,0
2020-03-31,Northern,Plav,0,0,0,0
2020-03-31,Northern,Pluzine,0,0,0,0
2020-03-31,Northern,Rozaje,0,0,0,0
2020-03-31,Northern,Savnik,0,0,0,0
2020-03-31,Northern,Zabljak,0,0,0,0
2020-03-31,Northern,Pljevlja,0,0,0,0
2020-04-01,Central,Podgorica,50,0,11,0
2020-04-01,Central,Cetinje,0,0,0,0
2020-04-01,Central,Danilovgrad,1,0,0,0
2020-04-01,Central,Niksic,1,0,1,0
2020-04-01,Central,Tuzi,34,0,1,0
2020-04-01,Costal,Bar,10,0,0,0
2020-04-01,Costal,Budva,4,0,0,0
2020-04-01,Costal,Herceg Novi,4,0,0,0
2020-04-01,Costal,Kotor,0,0,0,0
2020-04-01,Costal,Tivat,2,0,0,0
2020-04-01,Costal,Ulcinj,9,0,1,0
2020-04-01,Northern,Andrijevica,7,0,0,0
2020-04-01,Northern,Berane,0,0,0,0
2020-04-01,Northern,Bijelo Polje,1,0,0,0
2020-04-01,Northern,Gusinje,0,0,0,0
2020-04-01,Northern,Kolasin,0,0,0,0
2020-04-01,Northern,Mojkovac,0,0,0,0
2020-04-01,Northern,Petnjica,0,0,0,0
2020-04-01,Northern,Plav,0,0,0,0
2020-04-01,Northern,Pluzine,0,0,0,0
2020-04-01,Northern,Rozaje,0,0,0,0
2020-04-01,Northern,Savnik,0,0,0,0
2020-04-01,Northern,Zabljak,0,0,0,0
2020-04-01,Northern,Pljevlja,0,0,0,0
2020-04-02,Central,Podgorica,63,0,13,0
2020-04-02,Central,Cetinje,0,0,0,0
2020-04-02,Central,Danilovgrad,2,0,1,0
2020-04-02,Central,Niksic,3,0,2,0
2020-04-02,Central,Tuzi,34,0,0,0
2020-04-02,Costal,Bar,10,0,0,0
2020-04-02,Costal,Budva,4,0,0,0
2020-04-02,Costal,Herceg Novi,4,0,0,0
2020-04-02,Costal,Kotor,0,0,0,0
2020-04-02,Costal,Tivat,2,0,0,0
2020-04-02,Costal,Ulcinj,9,0,0,0
2020-04-02,Northern,Andrijevica,7,0,0,0
2020-04-02,Northern,Berane,0,0,0,0
2020-04-02,Northern,Bijelo Polje,6,0,5,0
2020-04-02,Northern,Gusinje,0,0,0,0
2020-04-02,Northern,Kolasin,0,0,0,0
2020-04-02,Northern,Mojkovac,0,0,0,0
2020-04-02,Northern,Petnjica,0,0,0,0
2020-04-02,Northern,Plav,0,0,0,0
2020-04-02,Northern,Pluzine,0,0,0,0
2020-04-02,Northern,Rozaje,0,0,0,0
2020-04-02,Northern,Savnik,0,0,0,0
2020-04-02,Northern,Zabljak,0,0,0,0
2020-04-02,Northern,Pljevlja,0,0,0,0
2020-04-03,Central,Podgorica,77,0,14,0
2020-04-03,Central,Cetinje,0,0,0,0
2020-04-03,Central,Danilovgrad,3,0,1,0
2020-04-03,Central,Niksic,14,0,11,0
2020-04-03,Central,Tuzi,34,0,0,0
2020-04-03,Costal,Bar,12,0,2,0
2020-04-03,Costal,Budva,4,0,0,0
